text,target_sentiment
Renfe afronta mañana un nuevo día de paros parciales de los maquinistas,Negative
Presupuesto populista con cimientos frágiles,Negative
Biden no cree que la OPEP+ vaya a ayudar con los precios del petróleo,Negative
La deuda de las familias cae en 25.000 millones en 2015 y marca niveles previos a la crisis,Positive
"Bestinver: no hay ""momento más inoportuno"" para el Brexit",Negative
El número de desempleados aumenta en 932 personas en octubre,Negative
La sombra de Donald Trump se cierne sobre la economía mexicana,Negative
Grecia pide 3.000 millones al Banco Mundial para crear 300.000 empleos,Negative
Pensiones en España: tenemos un problema,Negative
"Trump: ""La paciencia estratégica con Pyongyang se ha acabado""",Negative
Berenberg reincide en su pesimismo sobre la banca española,Negative
España pierde su segundo arbitraje internacional por el recorte de las primas a las renovables,Negative
Tercer mes a la baja en el Ibex-35,Negative
"Se duplican los accidentes laborales mortales en Euskadi, con once fallecidos hasta marzo",Negative
España se mantiene como el segundo país de la eurozona con mayor tasa de paro,Negative
Los carburantes repuntan a nuevos máximos y acumulan un encarecimiento de hasta el 15%,Negative
Maroto prevé «meses duros» pero confía en recuperar el turismo antes del verano,Negative
La mitad de los españoles reducirá sus gastos esta Navidad,Positive
Una de cada diez empresas cerrará y la mitad entrará en pérdidas,Negative
La fortaleza del euro entorpece la recuperación del Viejo Continente,Positive
La UE devuelve a Panamá a su lista negra de paraísos fiscales,Negative
Bruselas denunciará a España ante el TUE si no aplica las normas europeas sobre fondos de inversión,Negative
"El Ibex-35 pierde un 0,29% en la sesión y gana un 0,14% en octubre",Negative
"El Ibex-35 se marea con el BCE, la investidura fallida y los resultados y pierde los 9.300 puntos",Negative
"El IBEX (-0,9%) transita en rojo por un miércoles santo que deja pérdidas en resto de Bolsas europeas",Negative
La bajada de los alimentos deja la subida de precios de enero en el 1%,Negative
"El déficit público en la eurozona sube al 0,5% en el tercer trimestre",Negative
Las empresas aportan la mitad que hace 10 años a las cuentas del Estado,Negative
"El Ibex-35 cae un 4,8% en agosto, cierra al filo de los 9.400 puntos, casi en mínimos anuales",Negative
"La inflación de China se mantiene en el 1,8% en mayo",Positive
Con las cuotas a vueltas,Negative
El vaivén de Donald Trump con los aranceles de China sacude todas las bolsas mundiales,Negative
«Los índices europeos parecen haber entrado en modo rebote»,Positive
"El beneficio del Santander se reduce un 4,9% por los tipos de cambio",Negative
Guindos apunta a Italia como el mayor riesgo para la deuda en Europa y no descarta un 'efecto contagio',Negative
"El FMI calcula que el coronavirus puede costarle entre un 0,1% y un 0,2% al PIB mundial este año",Negative
Oh yes! Gibraltar se paga sus servicios públicos engañando a la UE,Negative
Sanidad contradice a Comercio y prohíbe las rebajas por posibles aglomeraciones,Negative
"La tasa de paro salta al 15,33% tras destruirse un millón de empleos",Negative
La disolución de empresas se duplicó en junio respecto a mayo,Negative
"Créditos morosos en manos del Gobierno español sumaban 0,2 % del PIB en 2017",Negative
"El FMI alerta a Italia de que sus políticas podrían dejar ""vulnerable"" al país ante los mercados",Negative
Hacienda advierte a 21.500 usuarios de plataformas como Airbnb de que deben declarar todos sus ingresos,Negative
"La Bolsa de Hong Kong baja un 0,51 % a media sesión",Negative
"La Bolsa de México pierde un 0,36 % al inicio de la sesión",Negative
Los trabajadores de ITP en Sestao y Barakaldo piden una solución 'in extremis' a sus despidos,Negative
"La Bolsa de Londres baja un 0,29 % en la apertura",Negative
La luz anticipa mañana otro récord con España congelada,Positive
"El PIB frena su crecimiento y se expande un 0,5% en el segundo trimestre",Negative
"Trump: ""Sin las subidas de tipos de la Fed, EEUU habría crecido un 4% en 2018""",Negative
Cae la tasa de ahorro de los hogares en 2018 al mínimo histórico,Negative
Sólo el PSOE se enroca en mantener la subida del impuesto de matriculación,Negative
"La Bolsa de París baja un 0,09 % a la apertura",Negative
"Rusia, un país con excesiva presencia del Estado e infraestructuras insuficientes",Negative
Huelga en la mayor compañía minera de Mauritania casi paraliza la actividad,Negative
Wall Street vuelve a las ventas afectado por la caída del petróleo,Negative
"El precio de la gasolina sube un 1,73 % y el del gasóleo, un 1,21 %",Positive
Los tuits de Trump y las tensiones geopolíticas tumban la Bolsa de Seúl,Negative
Los cruceros reabren sus puertas con solo un quinto de su negocio,Negative
La bolsa de Sao Paulo encadena tercera caída consecutiva en jornada volátil,Negative
ELA aboga por mantener la huelga indefinida en Tubacex como «garantía» para negociar,Negative
La guerra fría tecnológica entre EEUU y China acentúa el temor de Wall Street,Negative
"El petróleo de Texas cae un 0,6% y cierra en 58,81 dólares el barril",Negative
"Caída de Google y de sus servicios de Gmail y Youtube en EEUU, España y otros países europeos",Negative
Los riesgos económicos ante la repetición electoral de noviembre,Negative
"La Bolsa de Sao Paulo pierde un 0,41 % en la apertura",Negative
"España, en la zona media de la digitalización europea: lastrada por la formación y los precios",Negative
"La deuda pública marca nuevo récord con 1,2 billones de euros hasta marzo",Negative
"El Gobierno admite que la fortaleza del euro es una ""amenaza importante"" para el turismo en España",Positive
Funcas avisa: la ralentización económica y la incertidumbre política obstaculizan el cumplimiento del déficit,Negative
